CustomerID;State;City;Zip Code;Latitude;Longitude;Gender;Senior Citizen;Partner;Dependents;Tenure Months;Phone Service;Multiple Lines;Internet Service;Online Security;Online Backup;Device Protection;Tech Support;Streaming TV;Streaming Movies;Contract;Paperless Billing;Payment Method;Monthly Charges;Total Charges;Churn Label;Churn Score;CLTV;Churn Reason;Tenure Category;Monthly Charge Category;Total Services;Churn Risk;CLTV Category;Customer Status
8168-UQWWF;California;Los Angeles;90042;34,11572;-118,192754;Female;No;No;Yes;11;Yes;Yes;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Bank transfer (automatic);97,85;1105,4;Yes;70;5674;Competitor offered more data;0-12 Months;High;5;High Risk;High Value;Churned
7760-OYPDY;California;Los Angeles;90056;33,987945;-118,370442;Female;No;No;Yes;2;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;80,65;144,15;Yes;90;5586;Competitor offered more data;0-12 Months;High;2;High Risk;High Value;Churned
9420-LOJKX;California;Los Angeles;90061;33,92128;-118,274186;Female;No;No;Yes;15;Yes;No;Fiber optic;Yes;Yes;No;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);99,1;1426,4;Yes;82;2966;Competitor offered more data;13-24 Months;High;5;Medium Risk;Medium Value;Churned
7495-OOKFY;California;Los Angeles;90063;34,044271;-118,185237;Female;Yes;Yes;Yes;8;Yes;Yes;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Credit card (automatic);80,65;633,3;Yes;69;5302;Competitor made better offer;0-12 Months;High;3;High Risk;High Value;Churned
1658-BYGOY;California;Los Angeles;90065;34,108833;-118,229715;Male;Yes;No;Yes;18;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;95,45;1752,55;Yes;81;3179;Competitor made better offer;13-24 Months;High;4;Medium Risk;Medium Value;Churned
5698-BQJOH;California;Beverly Hills;90211;34,063947;-118,383001;Female;No;No;Yes;9;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;No;Electronic check;94,4;857,25;Yes;96;5571;Price too high;0-12 Months;High;4;High Risk;High Value;Churned
5919-TMRGD;California;Huntington Park;90255;33,97803;-118,217141;Female;No;No;Yes;1;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;79,35;79,35;Yes;87;2483;Product dissatisfaction;0-12 Months;High;2;High Risk;Medium Value;Churned
9191-MYQKX;California;Lynwood;90262;33,923573;-118,200669;Female;No;Yes;Yes;7;Yes;No;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Bank transfer (automatic);75,15;496,9;Yes;70;3457;Service dissatisfaction;0-12 Months;High;2;High Risk;Medium Value;Churned
8637-XJIVR;California;Marina Del Rey;90292;33,977468;-118,445475;Female;No;No;Yes;12;Yes;Yes;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Electronic check;78,95;927,35;Yes;86;5806;Lack of self-service on Website;0-12 Months;High;3;High Risk;High Value;Churned
0278-YXOOG;California;Inglewood;90301;33,956445;-118,358634;Male;No;No;No;5;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;21,05;113,85;Yes;66;2604;Network reliability;0-12 Months;Low;1;Medium Risk;Medium Value;Churned
4598-XLKNJ;California;Inglewood;90303;33,936291;-118,332639;Female;Yes;Yes;Yes;25;Yes;No;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;98,5;2514,5;Yes;88;5337;Limited range of services;25-48 Months;High;5;Low Risk;High Value;Churned
3192-NQECA;California;Santa Monica;90403;34,031529;-118,491156;Male;No;Yes;No;68;Yes;Yes;Fiber optic;No;Yes;Yes;Yes;Yes;Yes;Two year;Yes;Bank transfer (automatic);110;7611,85;Yes;86;5034;Lack of affordable download/upload speed;49+ Months;Premium;7;Low Risk;High Value;Churned
0486-HECZI;California;Torrance;90504;33,867257;-118,330794;Male;No;Yes;Yes;55;Yes;Yes;Fiber optic;Yes;Yes;No;No;Yes;No;Month-to-month;Yes;Electronic check;96,75;5238,9;Yes;75;5154;Long distance charges;49+ Months;High;5;Low Risk;High Value;Churned
4846-WHAFZ;California;Whittier;90602;33,972119;-118,020188;Female;Yes;Yes;Yes;37;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;76,5;2868,15;Yes;67;2793;Extra data charges;25-48 Months;High;2;Low Risk;Medium Value;Churned
5299-RULOA;California;Whittier;90606;33,976678;-118,065875;Female;No;Yes;Yes;10;Yes;Yes;Fiber optic;Yes;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;100,25;1064,65;Yes;87;5998;Price too high;0-12 Months;Premium;5;High Risk;High Value;Churned
0404-SWRVG;California;La Habra;90631;33,940619;-117,9513;Male;No;No;Yes;3;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;74,4;229,55;Yes;76;4415;Product dissatisfaction;0-12 Months;High;2;High Risk;High Value;Churned
4412-YLTKF;California;Pico Rivera;90660;33,989524;-118,089299;Female;Yes;No;Yes;27;Yes;Yes;Fiber optic;No;No;Yes;No;No;No;Month-to-month;Yes;Electronic check;78,05;2135,5;Yes;95;4638;Service dissatisfaction;25-48 Months;High;3;Low Risk;High Value;Churned
6207-WIOLX;California;Avalon;90704;33,391181;-118,421305;Female;No;Yes;No;25;No;No phone service;DSL;Yes;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Credit card (automatic);58,6;1502,65;Yes;99;4190;Lack of self-service on Website;25-48 Months;Medium;5;Low Risk;High Value;Churned
3091-FYHKI;California;Harbor City;90710;33,798266;-118,300237;Male;No;No;No;1;No;No phone service;DSL;No;No;No;No;No;Yes;Month-to-month;Yes;Electronic check;35,45;35,45;Yes;80;2301;Network reliability;0-12 Months;Medium;1;Medium Risk;Medium Value;Churned
2372-HWUHI;California;Lakewood;90712;33,840524;-118,148403;Male;No;No;No;2;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;No;Electronic check;44,35;81,25;Yes;76;2570;Don't know;0-12 Months;Medium;1;Medium Risk;Medium Value;Churned
0390-DCFDQ;California;Los Alamitos;90720;33,79499;-118,065591;Female;Yes;Yes;Yes;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;70,45;70,45;Yes;76;3964;Don't know;0-12 Months;High;1;High Risk;Medium Value;Churned
4080-OGPJL;California;San Pedro;90731;33,736387;-118,284363;Female;No;No;No;8;Yes;Yes;DSL;Yes;No;No;Yes;No;Yes;Month-to-month;No;Electronic check;71,15;563,65;Yes;66;2662;Don't know;0-12 Months;High;5;High Risk;Medium Value;Churned
2135-RXIHG;California;Carson;90745;33,822295;-118,26411;Male;No;No;No;1;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;45,65;45,65;Yes;73;2600;Poor expertise of online support;0-12 Months;Medium;1;Medium Risk;Medium Value;Churned
3874-EQOEP;California;Long Beach;90804;33,783047;-118,1486;Male;No;No;Yes;7;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;No;Mailed check;95;655,5;Yes;94;2786;Poor expertise of phone support;0-12 Months;High;4;High Risk;Medium Value;Churned
0867-MKZVY;California;Altadena;91001;34,196837;-118,142236;Female;No;Yes;Yes;20;Yes;Yes;Fiber optic;Yes;No;No;No;No;No;Month-to-month;No;Electronic check;82,4;1592,35;Yes;86;5719;Price too high;13-24 Months;High;3;Medium Risk;High Value;Churned
3376-BMGFE;California;Monrovia;91016;34,1528;-118,000482;Female;No;No;Yes;4;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Bank transfer (automatic);70,9;273;Yes;75;4287;Product dissatisfaction;0-12 Months;High;1;High Risk;High Value;Churned
3445-HXXGF;California;Sierra Madre;91024;34,168686;-118,057505;Male;Yes;Yes;No;58;No;No phone service;DSL;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;45,3;2651,2;Yes;100;5444;Service dissatisfaction;49+ Months;Medium;3;Low Risk;High Value;Churned
1875-QIVME;California;Tujunga;91042;34,296574;-118,244839;Female;No;Yes;Yes;2;Yes;Yes;Fiber optic;No;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;104,4;242,8;Yes;83;4690;Lack of self-service on Website;0-12 Months;Premium;6;High Risk;High Value;Churned
0691-JVSYA;California;Pasadena;91103;34,167465;-118,165327;Female;No;Yes;No;53;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;One year;Yes;Bank transfer (automatic);94,85;5000,2;Yes;80;4328;Network reliability;49+ Months;High;4;Low Risk;High Value;Churned
2656-FMOKZ;California;Pasadena;91106;34,139402;-118,128658;Female;Yes;No;Yes;15;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Mailed check;74,45;1145,7;Yes;99;5717;Limited range of services;13-24 Months;High;2;Medium Risk;High Value;Churned
2070-FNEXE;California;Pasadena;91107;34,159007;-118,087353;Female;Yes;No;Yes;7;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);76,45;503,6;Yes;81;4419;Lack of affordable download/upload speed;0-12 Months;High;2;High Risk;High Value;Churned
6317-YPKDH;California;Glendale;91202;34,167926;-118,267539;Female;No;No;No;1;No;No phone service;DSL;No;Yes;No;No;No;No;Month-to-month;No;Bank transfer (automatic);29,95;29,95;Yes;95;4534;Long distance charges;0-12 Months;Low;1;Medium Risk;High Value;Churned
9367-WXLCH;California;Glendale;91204;34,136306;-118,26036;Male;No;No;Yes;8;Yes;Yes;Fiber optic;No;No;No;No;No;Yes;Month-to-month;No;Bank transfer (automatic);84,5;662,65;Yes;86;2152;Extra data charges;0-12 Months;High;3;High Risk;Medium Value;Churned
1918-ZBFQJ;California;Glendale;91206;34,162515;-118,203869;Female;No;No;Yes;13;Yes;No;Fiber optic;No;Yes;Yes;No;No;No;Month-to-month;Yes;Electronic check;79,25;1111,65;Yes;73;5142;Price too high;13-24 Months;High;3;Medium Risk;High Value;Churned
1024-GUALD;California;Glendale;91207;34,182378;-118,262922;Female;No;Yes;No;1;No;No phone service;DSL;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;24,8;24,8;Yes;94;4851;Product dissatisfaction;0-12 Months;Low;0;Medium Risk;High Value;Churned
2472-OVKUP;California;Canoga Park;91304;34,224377;-118,632656;Male;No;Yes;Yes;6;Yes;No;Fiber optic;No;Yes;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;91;531;Yes;94;2283;Service dissatisfaction;0-12 Months;High;4;High Risk;Medium Value;Churned
1285-OKIPP;California;Mission Hills;91345;34,266389;-118,459744;Male;No;No;Yes;1;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;No;Electronic check;79,9;79,9;Yes;98;3394;Lack of self-service on Website;0-12 Months;High;2;High Risk;Medium Value;Churned
7825-ECJRF;California;Santa Clarita;91350;34,502432;-118,41459;Female;No;No;Yes;19;Yes;No;Fiber optic;Yes;No;Yes;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;106,6;1934,45;Yes;71;3764;Network reliability;13-24 Months;Premium;6;Medium Risk;Medium Value;Churned
7841-TZDMQ;California;Sun Valley;91352;34,231053;-118,338307;Male;No;No;No;2;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);46;84,5;Yes;76;2667;Don't know;0-12 Months;Medium;1;Medium Risk;Medium Value;Churned
9408-SSNVZ;California;Stevenson Ranch;91381;34,364153;-118,615583;Female;No;No;Yes;4;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;70,15;268,35;Yes;67;2227;Don't know;0-12 Months;High;1;High Risk;Medium Value;Churned
0742-MOABM;California;Panorama City;91402;34,223768;-118,445461;Male;No;Yes;No;4;Yes;No;DSL;No;No;No;Yes;No;No;Month-to-month;No;Mailed check;50,05;179,35;Yes;82;3394;Don't know;0-12 Months;Medium;2;Medium Risk;Medium Value;Churned
2232-DMLXU;California;Van Nuys;91411;34,17847;-118,459472;Female;No;Yes;No;1;Yes;No;DSL;No;No;No;No;Yes;No;Month-to-month;No;Mailed check;55,2;55,2;Yes;81;3638;Poor expertise of online support;0-12 Months;Medium;2;Medium Risk;Medium Value;Churned
8937-RDTHP;California;Burbank;91504;34,213049;-118,317651;Male;No;No;Yes;1;Yes;No;Fiber optic;Yes;No;No;No;No;Yes;Month-to-month;Yes;Mailed check;84,6;84,6;Yes;66;2484;Poor expertise of phone support;0-12 Months;High;3;High Risk;Medium Value;Churned
1251-KRREG;California;North Hollywood;91601;34,1692;-118,372498;Male;No;No;No;2;Yes;Yes;DSL;No;Yes;No;No;No;No;Month-to-month;Yes;Mailed check;54,4;114,1;Yes;81;2556;Price too high;0-12 Months;Medium;3;Medium Risk;Medium Value;Churned
0094-OIFMO;California;North Hollywood;91605;34,207295;-118,400022;Female;Yes;No;Yes;11;Yes;No;Fiber optic;No;Yes;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;95;1120,3;Yes;85;5980;Product dissatisfaction;0-12 Months;High;4;High Risk;High Value;Churned
9947-OTFQU;California;Covina;91722;34,097345;-117,906736;Male;Yes;No;No;15;Yes;No;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;74,4;1074,3;Yes;86;4616;Service dissatisfaction;13-24 Months;High;2;Medium Risk;High Value;Churned
0322-YINQP;California;Covina;91723;34,084747;-117,886844;Male;No;No;No;1;Yes;No;DSL;Yes;No;No;No;No;No;Month-to-month;Yes;Mailed check;48,55;48,55;Yes;77;5687;Lack of self-service on Website;0-12 Months;Medium;2;Medium Risk;High Value;Churned
4629-NRXKX;California;El Monte;91731;34,079934;-118,046695;Female;No;Yes;No;2;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Electronic check;70,4;147,15;Yes;75;5687;Network reliability;0-12 Months;High;1;High Risk;High Value;Churned
9514-JDSKI;California;El Monte;91732;34,074492;-118,01462;Male;Yes;Yes;No;1;No;No phone service;DSL;No;Yes;No;No;Yes;No;Month-to-month;No;Electronic check;40,2;40,2;Yes;65;5828;Limited range of services;0-12 Months;Medium;2;Medium Risk;High Value;Churned
4959-JOSRX;California;La Puente;91744;34,031441;-117,936436;Female;No;Yes;No;2;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);44,6;80,55;Yes;99;4884;Lack of affordable download/upload speed;0-12 Months;Medium;1;Medium Risk;High Value;Churned
7273-TEFQD;California;La Puente;91746;34,038983;-117,991372;Male;Yes;No;No;3;No;No phone service;DSL;No;No;Yes;No;No;Yes;Month-to-month;Yes;Electronic check;41,15;132,2;Yes;96;2314;Long distance charges;0-12 Months;Medium;2;Medium Risk;Medium Value;Churned
3606-TWKGI;California;Rowland Heights;91748;33,976753;-117,897367;Male;Yes;No;No;13;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;106,9;1364,3;Yes;84;2494;Extra data charges;13-24 Months;Premium;6;Medium Risk;Medium Value;Churned
6323-AYBRX;California;Ontario;91762;34,057256;-117,667677;Male;No;No;No;59;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;19,35;1099,6;Yes;83;5084;Price too high;49+ Months;Low;1;Low Risk;High Value;Churned
4385-GZQXV;California;Ontario;91764;34,074087;-117,605618;Female;Yes;No;No;16;Yes;No;Fiber optic;No;No;No;Yes;Yes;Yes;Month-to-month;Yes;Electronic check;94,45;1511,2;Yes;81;3810;Product dissatisfaction;13-24 Months;High;4;Medium Risk;Medium Value;Churned
6366-ZGQGL;California;Pomona;91766;34,042286;-117,756106;Male;No;No;No;1;No;No phone service;DSL;No;No;No;No;No;No;Month-to-month;No;Bank transfer (automatic);24,8;24,8;Yes;73;5087;Service dissatisfaction;0-12 Months;Low;0;Medium Risk;High Value;Churned
5940-AHUHD;California;Pomona;91768;34,067932;-117,785168;Male;No;No;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Mailed check;70,6;70,6;Yes;69;3338;Lack of self-service on Website;0-12 Months;High;1;High Risk;Medium Value;Churned
6432-TWQLB;California;Rosemead;91770;34,065108;-118,082791;Male;No;Yes;No;5;Yes;Yes;Fiber optic;No;Yes;No;Yes;No;No;Month-to-month;Yes;Electronic check;85,4;401,1;Yes;80;3676;Network reliability;0-12 Months;High;4;High Risk;Medium Value;Churned
4484-GLZOU;California;San Dimas;91773;34,102119;-117,815532;Female;No;Yes;No;52;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;105,05;5624,85;Yes;65;4839;Don't know;49+ Months;Premium;6;Low Risk;High Value;Churned
9512-UIBFX;California;West Covina;91791;34,061634;-117,893169;Male;No;Yes;No;18;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;No;Mailed check;95,15;1779,95;Yes;68;4643;Don't know;13-24 Months;High;4;Medium Risk;High Value;Churned
5583-SXDAG;California;Alhambra;91803;34,074736;-118,145959;Male;No;Yes;No;1;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;No;Electronic check;70;70;Yes;97;4094;Don't know;0-12 Months;Medium;1;Medium Risk;High Value;Churned
3488-PGMQJ;California;Alpine;91901;32,827184;-116,703729;Male;Yes;No;No;8;Yes;No;Fiber optic;No;Yes;No;No;No;No;Month-to-month;Yes;Electronic check;74,5;606,55;Yes;80;4345;Poor expertise of online support;0-12 Months;High;2;High Risk;High Value;Churned
3580-REOAC;California;Bonita;91902;32,67117;-117,00232;Male;No;No;No;10;Yes;No;DSL;No;No;No;No;No;No;Month-to-month;Yes;Credit card (automatic);44,85;435,4;Yes;83;4061;Poor expertise of phone support;0-12 Months;Medium;1;Medium Risk;High Value;Churned
7534-BFESC;California;Boulevard;91905;32,677097;-116,304991;Male;Yes;No;No;24;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;76,1;1712,7;Yes;98;2018;Price too high;13-24 Months;High;2;Medium Risk;Medium Value;Churned
6390-DSAZX;California;Guatay;91931;32,857946;-116,561917;Female;No;No;No;1;Yes;No;Fiber optic;Yes;No;No;No;No;No;Month-to-month;Yes;Mailed check;73,6;73,6;Yes;80;2565;Product dissatisfaction;0-12 Months;High;2;High Risk;Medium Value;Churned
8098-LLAZX;California;Jacumba;91934;32,649787;-116,2237;Female;Yes;No;No;4;Yes;Yes;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;95,45;396,1;Yes;85;3677;Service dissatisfaction;0-12 Months;High;4;High Risk;Medium Value;Churned
0265-EDXBD;California;Mount Laguna;91948;32,830852;-116,444601;Male;Yes;Yes;No;32;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;74,9;2303,35;Yes;69;4105;Lack of self-service on Website;25-48 Months;High;2;Low Risk;High Value;Churned
7563-BIUPC;California;Borrego Springs;92004;33,200369;-116,192313;Male;No;No;No;5;Yes;No;Fiber optic;No;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;80,6;415,55;Yes;69;5715;Network reliability;0-12 Months;High;2;High Risk;High Value;Churned
2321-OMBXY;California;Carlsbad;92009;33,098018;-117,258203;Female;No;Yes;No;38;Yes;No;DSL;Yes;Yes;No;Yes;Yes;Yes;One year;No;Credit card (automatic);80,3;3058,65;Yes;81;2071;Limited range of services;25-48 Months;High;6;Low Risk;Medium Value;Churned
2840-XANRC;California;Del Mar;92014;32,948262;-117,256086;Male;Yes;Yes;No;24;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;93,15;2231,05;Yes;73;2212;Lack of affordable download/upload speed;13-24 Months;High;4;Medium Risk;Medium Value;Churned
5020-ZSTTY;California;El Cajon;92020;32,79697;-116,969082;Female;Yes;No;No;54;Yes;Yes;DSL;Yes;Yes;No;Yes;Yes;Yes;One year;No;Bank transfer (automatic);82,45;4350,1;Yes;83;4149;Long distance charges;49+ Months;High;7;Low Risk;High Value;Churned
5804-LEPIM;California;Escondido;92029;33,079834;-117,134275;Female;Yes;No;No;2;Yes;No;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;70,35;139,05;Yes;73;2671;Extra data charges;0-12 Months;High;1;High Risk;Medium Value;Churned
0122-OAHPZ;California;Oceanside;92057;33,254497;-117,285879;Female;No;No;No;7;Yes;Yes;Fiber optic;No;No;No;No;No;No;Month-to-month;Yes;Electronic check;73,85;511,25;Yes;67;2473;Price too high;0-12 Months;High;2;High Risk;Medium Value;Churned
2868-SNELZ;California;Pala;92059;33,384345;-117,072619;Female;No;No;No;2;Yes;Yes;Fiber optic;No;No;Yes;No;No;No;Month-to-month;No;Mailed check;80,6;155,8;Yes;92;2683;Product dissatisfaction;0-12 Months;High;3;High Risk;Medium Value;Churned
4322-RCYMT;California;Palomar Mountain;92060;33,309852;-116,823091;Male;No;Yes;No;68;Yes;Yes;DSL;No;Yes;Yes;Yes;No;Yes;One year;Yes;Bank transfer (automatic);75,8;5293,95;Yes;81;4903;Service dissatisfaction;49+ Months;High;6;Low Risk;High Value;Churned
6680-NENYN;California;Pauma Valley;92061;33,313828;-116,940501;Female;No;No;No;43;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Two year;Yes;Electronic check;104,6;4759,85;Yes;91;5250;Lack of self-service on Website;25-48 Months;Premium;6;Low Risk;High Value;Churned
1343-EHPYB;California;Ranchita;92066;33,215251;-116,53633;Male;No;Yes;No;63;Yes;Yes;Fiber optic;No;Yes;Yes;No;Yes;Yes;Month-to-month;Yes;Electronic check;103,4;6603;Yes;98;4352;Network reliability;49+ Months;Premium;6;Low Risk;High Value;Churned
2034-GDRCN;California;Valley Center;92082;33,25283;-116,986079;Female;No;No;No;2;Yes;No;Fiber optic;No;No;No;No;Yes;Yes;Month-to-month;Yes;Electronic check;90,4;168,2;Yes;76;4157;Don't know;0-12 Months;High;3;High Risk;High Value;Churned
0219-YTZUE;California;San Diego;92103;32,747484;-117,166877;Male;No;Yes;No;4;Yes;Yes;Fiber optic;No;Yes;Yes;No;No;No;Month-to-month;Yes;Bank transfer (automatic);84,8;371,9;Yes;73;4939;Don't know;0-12 Months;High;4;High Risk;High Value;Churned
0623-IIHUG;California;San Diego;92104;32,741499;-117,127409;Female;Yes;No;No;21;No;No phone service;DSL;Yes;No;No;No;Yes;No;Month-to-month;Yes;Electronic check;41,9;840,1;Yes;97;4778;Don't know;13-24 Months;Medium;2;Medium Risk;High Value;Churned
4572-DVCGN;California;San Diego;92105;32,741859;-117,090353;Female;No;No;No;10;Yes;No;Fiber optic;No;No;No;No;No;Yes;Month-to-month;Yes;Bank transfer (automatic);80,25;846;Yes;85;3598;Poor expertise of online support;0-12 Months;High;2;High Risk;Medium Value;Churned
9057-MSWCO;California;San Diego;92108;32,774046;-117,142454;Male;Yes;Yes;No;27;No;No phone service;DSL;Yes;No;No;No;No;No;Month-to-month;No;Credit card (automatic);30,75;805,1;Yes;91;2927;Poor expertise of phone support;25-48 Months;Low;1;Low Risk;Medium Value;Churned
1010-DIAUQ;California;San Diego;92116;32,765299;-117,122565;Male;No;No;No;5;Yes;No;Fiber optic;No;No;Yes;No;Yes;Yes;Month-to-month;No;Bank transfer (automatic);96,5;492,55;Yes;98;5383;Price too high;0-12 Months;High;4;High Risk;High Value;Churned
